chunks,static,dynamic,guided
1,6.161221,21.396764,4.445828
2,5.295173,14.450749,5.183194
3,5.444235,10.838098,4.255553
4,5.351776,10.264342,4.945964
5,5.434305,9.411061,4.309700
6,4.991815,8.343608,4.843930
7,4.825700,7.947121,4.981425
8,4.817533,7.526736,4.294092
9,4.770419,7.991597,4.756082
10,4.882494,7.160899,4.368046
11,5.327496,7.409970,4.301147
12,5.414179,7.200226,4.394111
13,5.347795,7.468649,4.524656
14,4.813091,7.216680,5.049801
15,4.776568,6.657889,4.398735
16,5.528783,7.720906,4.427338
17,5.806110,7.190562,4.991650
18,5.450466,7.694886,5.187576
19,6.307833,7.521204,4.843668
20,5.494989,6.367419,4.217988
